FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;77,08;88,54;77,08;81,25;83,33;91,67;87,50
Fold2;73,96;84,38;73,96;80,21;76,04;85,42;84,38
Fold3;78,12;81,25;78,12;81,25;77,08;81,25;82,29
Fold4;77,08;82,29;77,08;82,29;79,17;82,29;83,33
Fold5;75,00;82,29;75,00;79,17;79,17;81,25;84,38
Fold6;71,88;79,17;71,88;79,17;80,21;79,17;79,17
Fold7;77,08;86,46;77,08;82,29;83,33;88,54;87,50
Fold8;79,17;83,33;79,17;81,25;81,25;84,38;83,33
Fold9;74,74;85,26;74,74;72,63;80,00;83,16;85,26
Fold10;80,00;85,26;80,00;80,00;83,16;88,42;86,32
