FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;65,91;100,00;65,91;65,91;65,91;100,00;90,91
Fold2;65,91;100,00;65,91;65,91;65,91;90,91;86,36
Fold3;67,44;100,00;67,44;65,12;67,44;100,00;90,70
Fold4;67,44;97,67;67,44;62,79;67,44;97,67;95,35
Fold5;67,44;100,00;67,44;67,44;67,44;100,00;95,35
Fold6;62,79;95,35;62,79;67,44;62,79;95,35;95,35
Fold7;67,44;100,00;67,44;67,44;67,44;100,00;100,00
Fold8;67,44;100,00;67,44;67,44;67,44;100,00;100,00
Fold9;67,44;100,00;67,44;67,44;67,44;100,00;97,67
Fold10;62,79;95,35;62,79;67,44;62,79;95,35;95,35
