FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;77,14;77,14;71,43;77,14;88,57;85,71;85,71
Fold2;77,14;65,71;77,14;65,71;74,29;68,57;68,57
Fold3;65,71;77,14;74,29;77,14;71,43;80,00;80,00
Fold4;85,71;77,14;88,57;77,14;82,86;82,86;85,71
Fold5;85,71;82,86;88,57;82,86;80,00;80,00;74,29
Fold6;65,71;82,86;74,29;82,86;77,14;77,14;74,29
Fold7;80,00;62,86;62,86;62,86;77,14;65,71;65,71
Fold8;74,29;85,71;85,71;85,71;82,86;77,14;77,14
Fold9;62,86;65,71;74,29;65,71;80,00;80,00;80,00
Fold10;76,47;76,47;85,29;76,47;85,29;82,35;82,35
