FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;79,37;77,78;98,41;100,00;77,78;77,78;95,24;95,24
Fold2;69,84;85,71;90,48;93,65;77,78;85,71;96,83;96,83
Fold3;82,54;73,02;90,48;93,65;76,19;87,30;92,06;92,06
Fold4;71,43;69,84;98,41;93,65;74,60;77,78;90,48;90,48
Fold5;88,89;74,60;95,24;98,41;85,71;82,54;96,83;96,83
Fold6;90,32;82,26;91,94;96,77;85,48;91,94;96,77;96,77
Fold7;87,10;83,87;95,16;93,55;83,87;88,71;96,77;96,77
Fold8;90,32;80,65;98,39;93,55;90,32;93,55;98,39;98,39
Fold9;80,65;72,58;95,16;96,77;79,03;93,55;98,39;96,77
Fold10;83,87;88,71;95,16;100,00;82,26;80,65;95,16;95,16
