FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fold2;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fold3;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fold4;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fold5;100,00;92,31;100,00;100,00;100,00;100,00;100,00;100,00
Fold6;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fold7;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fold8;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fold9;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fold10;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
