FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;82,61;82,61;65,22;86,96;78,26;86,96;86,96;86,96
Fold2;91,30;86,96;69,57;69,57;86,96;78,26;78,26;78,26
Fold3;73,91;95,65;78,26;78,26;95,65;95,65;86,96;91,30
Fold4;77,27;72,73;68,18;72,73;72,73;68,18;77,27;63,64
Fold5;68,18;77,27;77,27;77,27;77,27;72,73;77,27;77,27
Fold6;72,73;81,82;77,27;86,36;86,36;90,91;86,36;86,36
Fold7;86,36;81,82;81,82;81,82;81,82;90,91;81,82;81,82
Fold8;90,91;59,09;54,55;81,82;68,18;72,73;63,64;68,18
Fold9;81,82;72,73;77,27;77,27;72,73;81,82;81,82;81,82
Fold10;90,91;100,00;90,91;100,00;100,00;95,45;95,45;86,36
