FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;85,19;85,19;85,19;85,19;85,19;85,19;85,19;85,19
Fold2;81,48;81,48;81,48;81,48;81,48;81,48;81,48;81,48
Fold3;70,37;70,37;70,37;70,37;70,37;70,37;70,37;70,37
Fold4;85,19;85,19;85,19;85,19;85,19;85,19;85,19;85,19
Fold5;85,19;85,19;85,19;85,19;85,19;85,19;85,19;85,19
Fold6;70,37;70,37;70,37;70,37;70,37;70,37;70,37;70,37
Fold7;77,78;77,78;77,78;77,78;77,78;77,78;77,78;77,78
Fold8;92,59;92,59;92,59;92,59;92,59;92,59;92,59;92,59
Fold9;81,48;81,48;81,48;81,48;81,48;81,48;81,48;81,48
Fold10;81,48;81,48;81,48;81,48;81,48;81,48;81,48;81,48
