FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;74,29;77,14;74,29;77,14;88,57;77,14;77,14
Fold2;74,29;71,43;74,29;71,43;71,43;71,43;71,43
Fold3;74,29;74,29;74,29;74,29;71,43;77,14;74,29
Fold4;74,29;74,29;74,29;74,29;82,86;82,86;82,86
Fold5;71,43;77,14;71,43;77,14;80,00;77,14;77,14
Fold6;71,43;71,43;71,43;71,43;74,29;71,43;74,29
Fold7;71,43;65,71;71,43;65,71;77,14;60,00;60,00
Fold8;71,43;85,71;71,43;85,71;82,86;82,86;82,86
Fold9;71,43;77,14;71,43;77,14;80,00;82,86;82,86
Fold10;73,53;79,41;73,53;79,41;82,35;76,47;76,47
