FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fold2;69,23;69,23;69,23;69,23;69,23;84,62;76,92;76,92
Fold3;61,54;84,62;61,54;61,54;84,62;84,62;84,62;84,62
Fold4;92,31;84,62;92,31;92,31;100,00;92,31;84,62;84,62
Fold5;69,23;84,62;69,23;69,23;69,23;69,23;84,62;69,23
Fold6;92,31;100,00;92,31;92,31;100,00;92,31;100,00;92,31
Fold7;76,92;92,31;76,92;76,92;92,31;76,92;76,92;69,23
Fold8;84,62;92,31;84,62;84,62;92,31;92,31;92,31;92,31
Fold9;75,00;58,33;75,00;75,00;83,33;66,67;75,00;75,00
Fold10;75,00;91,67;75,00;75,00;91,67;91,67;91,67;91,67
