FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;100,00;90,48;95,24;100,00;95,24;85,71;90,48;85,71
Fold2;90,48;80,95;85,71;90,48;85,71;90,48;85,71;90,48
Fold3;76,19;85,71;76,19;76,19;80,95;80,95;85,71;85,71
Fold4;90,48;90,48;90,48;90,48;90,48;90,48;85,71;95,24
Fold5;85,71;71,43;76,19;85,71;85,71;85,71;71,43;71,43
Fold6;85,00;85,00;85,00;80,00;85,00;85,00;90,00;90,00
Fold7;70,00;70,00;75,00;75,00;75,00;75,00;70,00;70,00
Fold8;75,00;75,00;75,00;70,00;70,00;70,00;75,00;75,00
Fold9;85,00;85,00;80,00;85,00;85,00;90,00;85,00;85,00
Fold10;90,00;95,00;90,00;90,00;90,00;85,00;95,00;90,00
