dataset: cBinClassDisAttr-uniqueInst.arff
								--------------
									Fold  1
								--------------
Feature evaluation: MDL (All features dataset) - After CI
 0,4935 A1_x_A2
 0,4065 A1_x_A3
 0,3982 (A1 = 1)
 0,3901 A1==1 impl A2==1
 0,3877 A1_x_A4
 0,3852 A1
 0,3027 num-of-N((A1 = 1) and (A2 = 0))
 0,2711 A1==1 impl A4==0
 0,2652 num-of-N((A1 = 1) and (A2 = 2))
 0,2643 A1==1 impl A3==0
 0,2613 A1==1 impl A3==1
 0,2390 A1==1 or A3==1
 0,2296 A1==1 or A4==0
 0,2283 num-of-N((A1 = 1) and (A3 = 2))
 0,2272 num-of-N((A1 = 1) and (A4 = 2))
 0,2260 A1==1 impl A4==1
 0,2156 A1==1 or A2==0
 0,2129 A1==1 or A2==0 or A4==0
 0,2083 A1==1 or A2==2 or A3==1
 0,1954 A1==1 or A2==2
 0,1852 A1==1 and A3==2
 0,1852 (A1 = 1) and (A3 = 2)
 0,1768 A1==1 and A2==0
 0,1768 (A1 = 1) and (A2 = 0)
 0,1678 A1==1 impl A2==2
 0,1602 A1==1 and A4==2
 0,1602 (A1 = 1) and (A4 = 2)
 0,1517 A1==1 impl A4==2
 0,1481 A1==2 impl A2==0
 0,1441 A1==2 impl A3==1
 0,1441 A1==0 impl A2==2
 0,1440 A1==1 and A2==2
 0,1440 (A1 = 1) and (A2 = 2)
 0,1381 A1==1 or A4==2
 0,1363 A1==1 impl A2==0
 0,1362 A1==0 impl A4==0
 0,1295 A1==1 or A3==0
 0,1288 A1==1 impl A3==2
 0,1228 A1==0 or A2==1
 0,1206 A1==1 or A2==0 or A3==0
 0,1163 A1==1 or A3==2
 0,1158 A1==1 or A2==0 or A3==2
 0,1130 A1==1 or A4==1
 0,1119 A1==2 or A2==1
 0,1082 A1==1 or A2==2 or A4==2
 0,1011 A1==1 or A2==0 or A3==1
 0,0998 A1==0 or A2==1 or A3==0
 0,0973 A1==1 or A2==2 or A4==1
 0,0940 A1==1 or A2==1 or A3==1
 0,0938 A1==1 or A2==2 or A4==0
 0,0873 A1==1 or A2==0 or A4==2
 0,0843 A1==1 xor A4==0
 0,0843 A1==1 equ A4==0
 0,0836 A1==1 or A2==1 or A4==0
 0,0805 A1==1 xor A3==1
 0,0805 A1==1 equ A3==1
 0,0782 A1==1 or A2==1
