dataset: Spectf heart.arff
								--------------
									Fold  1
								--------------
Feature evaluation: MDL (All features dataset) - After CI
 0,1723 V33==B2of2 and V40==B3of3
 0,1703 V33_x_V40
 0,1582 V30_x_V40
 0,1567 num-of-N((V40 >= 71) and (V33 >= 63))
 0,1554 V33==B2of2 impl V40==B1of3
 0,1478 V40
 0,1464 V30==B1of3 or V40==B1of3
 0,1439 V30==B3of3 or V40==B3of3
 0,1401 V26
 0,1297 V30==B3of3 and V40==B3of3
 0,1249 V33==B2of2 xor V40==B1of3
 0,1249 V33==B2of2 equ V40==B1of3
 0,1235 (V40 >= 71) and (V33 >= 63)
 0,1204 V30==B3of3 impl V40==B2of3
 0,1167 V30==B3of3 impl V40==B1of3
 0,1143 V33==B2of2 xor V40==B3of3
 0,1143 V33==B2of2 equ V40==B3of3
 0,1126 V41
 0,1094 V42
 0,1087 V30
 0,1083 V44
 0,1035 V6
 0,0977 V16
 0,0952 V33==B2of2 impl V40==B3of3
 0,0893 V33==B2of2 and V40==B1of3
 0,0881 V43
 0,0858 V25
 0,0834 V30==B1of3 or V40==B2of3
 0,0825 V30==B2of3 or V40==B1of3
 0,0786 V39
 0,0750 V28
 0,0692 V30==B1of3 impl V40==B3of3
 0,0672 V4
 0,0671 V30==B1of3 xor V40==B2of3
 0,0671 V30==B1of3 equ V40==B2of3
 0,0623 V30==B1of3 impl V40==B2of3
 0,0610 V15
 0,0606 V30==B1of3 xor V40==B1of3
 0,0606 V30==B1of3 equ V40==B1of3
 0,0599 V32
 0,0579 V22
 0,0542 V30==B2of3 or V40==B3of3
 0,0538 V30==B1of3 and V40==B1of3
 0,0508 V30==B1of3 xor V40==B3of3
 0,0508 V30==B1of3 equ V40==B3of3
 0,0506 V29
 0,0505 V17
 0,0472 V36
 0,0460 V14
 0,0460 V34
 0,0442 V30==B3of3 xor V40==B2of3
 0,0442 V30==B3of3 equ V40==B2of3
 0,0440 V33 LESSTHAN V40
 0,0433 V30==B1of3 or V40==B3of3
 0,0426 V30==B2of3 impl V40==B3of3
 0,0424 V30==B3of3 or V40==B2of3
 0,0423 V7
 0,0416 V24
 0,0411 V8
 0,0404 V33==B2of2 impl V40==B2of3
 0,0374 V10
 0,0345 V33
 0,0329 V30==B2of3 and V40==B1of3
 0,0329 V18
 0,0294 V30==B2of3 xor V40==B1of3
 0,0294 V30==B2of3 equ V40==B1of3
 0,0283 V33==B2of2 xor V40==B2of3
 0,0283 V33==B2of2 equ V40==B2of3
 0,0269 V12
 0,0239 V2
 0,0237 V5
 0,0237 V1
 0,0236 V3
 0,0233 V30==B2of3 or V40==B2of3
 0,0227 V38
 0,0210 V33==B2of2 or V40==B3of3
 0,0210 V33==B2of2 or V40==B2of3
 0,0184 V19
 0,0182 V23
 0,0182 V20
 0,0182 V13
 0,0170 V9
 0,0168 V35
 0,0155 V31
 0,0141 V33==B2of2 or V40==B1of3
 0,0141 V30==B2of3 xor V40==B3of3
 0,0141 V30==B2of3 equ V40==B3of3
 0,0128 V21
 0,0128 V11
 0,0089 V30==B1of3 impl V40==B1of3
 0,0055 V30==B2of3 and V40==B2of3
 0,0052 V37
 0,0043 V33==B2of2 and V40==B2of3
 0,0030 V30==B1of3 and V40==B2of3
 0,0012 V27
 0,0008 V30==B2of3 xor V40==B2of3
 0,0008 V30==B2of3 equ V40==B2of3
 0,0003 V30==B3of3 xor V40==B1of3
 0,0003 V30==B3of3 equ V40==B1of3
 -0,0008 V30==B1of3 and V40==B3of3
 -0,0014 V33 DIFF V40
 -0,0015 V30==B3of3 or V40==B1of3
 -0,0019 V30==B3of3 and V40==B1of3
 -0,0049 V30==B2of3 impl V40==B2of3
 -0,0049 V30==B2of3 and V40==B3of3
 -0,0051 V30 LESSTHAN V40
 -0,0054 V30==B3of3 impl V40==B3of3
 -0,0059 V30==B3of3 and V40==B2of3
 -0,0067 V30 DIFF V40
 -0,0076 V30==B2of3 impl V40==B1of3
 -0,0088 V30==B3of3 xor V40==B3of3
 -0,0088 V30==B3of3 equ V40==B3of3
