FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;91,30;86,96;95,65;91,30;95,65;95,65;95,65;95,65
Fold2;82,61;78,26;100,00;73,91;78,26;78,26;82,61;82,61
Fold3;91,30;100,00;91,30;95,65;100,00;95,65;95,65;95,65
Fold4;77,27;68,18;86,36;68,18;72,73;59,09;68,18;68,18
Fold5;77,27;77,27;81,82;81,82;77,27;77,27;77,27;77,27
Fold6;86,36;86,36;90,91;90,91;90,91;86,36;90,91;90,91
Fold7;95,45;86,36;100,00;90,91;90,91;90,91;90,91;95,45
Fold8;77,27;68,18;90,91;77,27;68,18;81,82;77,27;86,36
Fold9;77,27;81,82;86,36;77,27;86,36;81,82;86,36;86,36
Fold10;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
