FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;91,30;95,65;95,65;91,30;91,30;95,65;95,65;91,30
Fold2;82,61;78,26;95,65;82,61;78,26;78,26;82,61;82,61
Fold3;91,30;100,00;95,65;91,30;91,30;95,65;95,65;91,30
Fold4;77,27;68,18;86,36;63,64;77,27;63,64;72,73;68,18
Fold5;77,27;77,27;77,27;81,82;77,27;77,27;81,82;77,27
Fold6;86,36;77,27;90,91;90,91;90,91;81,82;90,91;95,45
Fold7;95,45;90,91;95,45;90,91;90,91;90,91;95,45;90,91
Fold8;77,27;63,64;81,82;81,82;72,73;77,27;86,36;90,91
Fold9;77,27;81,82;90,91;72,73;81,82;81,82;81,82;77,27
Fold10;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
