FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;87,30;85,71;98,41;100,00;84,13;87,30;90,48;92,06
Fold2;76,19;84,13;93,65;95,24;80,95;82,54;85,71;85,71
Fold3;77,78;79,37;95,24;98,41;79,37;77,78;88,89;90,48
Fold4;82,54;87,30;95,24;95,24;87,30;84,13;87,30;90,48
Fold5;77,78;77,78;96,83;96,83;77,78;82,54;84,13;85,71
Fold6;75,81;79,03;98,39;98,39;75,81;75,81;88,71;88,71
Fold7;82,26;85,48;93,55;95,16;83,87;85,48;87,10;85,48
Fold8;83,87;82,26;100,00;98,39;83,87;82,26;88,71;85,48
Fold9;85,48;85,48;96,77;95,16;83,87;88,71;90,32;91,94
Fold10;85,48;85,48;98,39;100,00;83,87;88,71;91,94;91,94
