FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;65,91;50,00;65,91;65,91;47,73;65,91;50,00;65,91
Fold2;65,91;43,18;65,91;65,91;45,45;65,91;40,91;65,91
Fold3;67,44;44,19;67,44;67,44;51,16;67,44;46,51;67,44
Fold4;67,44;37,21;67,44;67,44;51,16;67,44;37,21;67,44
Fold5;67,44;55,81;67,44;67,44;62,79;67,44;55,81;67,44
Fold6;67,44;51,16;67,44;67,44;48,84;48,84;46,51;67,44
Fold7;65,12;46,51;65,12;65,12;51,16;55,81;46,51;65,12
Fold8;67,44;41,86;67,44;67,44;51,16;53,49;41,86;67,44
Fold9;67,44;39,53;67,44;67,44;41,86;46,51;39,53;67,44
Fold10;62,79;48,84;62,79;62,79;39,53;55,81;46,51;62,79
