FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;38,64;72,73;38,64;38,64;36,36;38,64;68,18;97,73
Fold2;45,45;77,27;45,45;45,45;40,91;45,45;68,18;88,64
Fold3;32,56;76,74;32,56;32,56;37,21;48,84;67,44;95,35
Fold4;34,88;79,07;34,88;34,88;34,88;34,88;79,07;97,67
Fold5;48,84;79,07;48,84;48,84;44,19;34,88;79,07;100,00
Fold6;37,21;72,09;37,21;37,21;46,51;37,21;69,77;95,35
Fold7;37,21;83,72;37,21;37,21;44,19;34,88;76,74;97,67
Fold8;39,53;74,42;39,53;39,53;41,86;46,51;76,74;100,00
Fold9;41,86;74,42;41,86;41,86;37,21;37,21;65,12;95,35
Fold10;30,23;79,07;30,23;30,23;34,88;37,21;74,42;95,35
