FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;78,00;100,00;88,50;86,50;100,00;100,00;100,00;100,00
Fold2;78,00;100,00;85,00;88,50;100,00;100,00;100,00;100,00
Fold3;78,00;100,00;89,50;96,00;100,00;100,00;100,00;100,00
Fold4;78,00;100,00;89,00;85,00;100,00;100,00;100,00;100,00
Fold5;78,50;100,00;86,00;88,00;100,00;100,00;100,00;100,00
Fold6;79,50;100,00;89,50;83,50;100,00;100,00;100,00;100,00
Fold7;78,50;100,00;88,50;90,00;100,00;100,00;100,00;100,00
Fold8;78,50;100,00;87,00;88,00;100,00;100,00;100,00;100,00
Fold9;78,50;100,00;86,00;89,50;100,00;100,00;100,00;100,00
Fold10;78,50;100,00;89,50;92,00;100,00;100,00;100,00;100,00
