FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;52,17;82,61;47,83;86,96;82,61;95,65;91,30;91,30
Fold2;52,17;86,96;60,87;78,26;86,96;78,26;73,91;73,91
Fold3;52,17;95,65;52,17;86,96;95,65;95,65;95,65;95,65
Fold4;50,00;77,27;40,91;72,73;63,64;59,09;68,18;68,18
Fold5;50,00;72,73;50,00;68,18;77,27;72,73;77,27;77,27
Fold6;50,00;81,82;59,09;81,82;86,36;86,36;90,91;90,91
Fold7;50,00;77,27;54,55;90,91;81,82;86,36;81,82;86,36
Fold8;50,00;68,18;50,00;86,36;72,73;72,73;77,27;77,27
Fold9;59,09;77,27;63,64;72,73;77,27;86,36;86,36;86,36
Fold10;72,73;95,45;63,64;100,00;95,45;95,45;100,00;100,00
