FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;85,71;100,00;85,71;85,71;100,00;100,00;100,00;100,00
Fold2;85,71;100,00;85,71;85,71;100,00;100,00;100,00;85,71
Fold3;71,43;100,00;71,43;71,43;71,43;100,00;100,00;100,00
Fold4;71,43;100,00;71,43;71,43;85,71;100,00;100,00;100,00
Fold5;83,33;100,00;83,33;83,33;83,33;100,00;100,00;100,00
Fold6;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fold7;83,33;100,00;83,33;83,33;83,33;100,00;100,00;100,00
Fold8;83,33;100,00;83,33;83,33;100,00;100,00;100,00;100,00
Fold9;50,00;100,00;50,00;50,00;50,00;100,00;100,00;100,00
Fold10;66,67;100,00;66,67;66,67;66,67;100,00;100,00;100,00
