FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;50,00;58,33;50,00;50,00;58,33;58,33;58,33;58,33
Fold2;83,33;83,33;83,33;91,67;83,33;75,00;75,00;75,00
Fold3;58,33;41,67;50,00;66,67;50,00;50,00;50,00;50,00
Fold4;83,33;66,67;75,00;91,67;83,33;66,67;75,00;75,00
Fold5;75,00;66,67;91,67;83,33;75,00;83,33;83,33;83,33
Fold6;75,00;75,00;66,67;58,33;75,00;83,33;75,00;75,00
Fold7;72,73;72,73;90,91;81,82;72,73;72,73;72,73;72,73
Fold8;72,73;72,73;81,82;72,73;72,73;81,82;81,82;81,82
Fold9;45,45;54,55;63,64;45,45;54,55;90,91;90,91;45,45
Fold10;72,73;72,73;90,91;45,45;72,73;45,45;45,45;45,45
