FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;93,00;100,00;77,00;93,50;100,00;100,00;99,00;100,00
Fold2;93,00;100,00;79,00;94,50;100,00;100,00;100,00;100,00
Fold3;95,50;100,00;77,50;95,00;100,00;100,00;100,00;100,00
Fold4;95,50;100,00;77,00;94,00;100,00;100,00;100,00;100,00
Fold5;94,50;100,00;75,00;91,00;100,00;100,00;99,50;100,00
Fold6;93,50;100,00;73,00;91,00;100,00;100,00;99,00;100,00
Fold7;96,50;100,00;77,00;93,00;100,00;100,00;98,00;100,00
Fold8;92,50;100,00;70,00;90,50;100,00;100,00;99,50;100,00
Fold9;93,50;100,00;72,50;93,00;100,00;100,00;99,00;100,00
Fold10;98,00;100,00;71,50;96,00;100,00;100,00;99,50;100,00
