FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;65,91;47,73;65,91;65,91;54,55;50,00;47,73;65,91
Fold2;65,91;56,82;65,91;65,91;45,45;65,91;54,55;65,91
Fold3;67,44;53,49;67,44;67,44;48,84;58,14;53,49;67,44
Fold4;67,44;51,16;67,44;67,44;58,14;67,44;51,16;67,44
Fold5;67,44;65,12;67,44;67,44;62,79;60,47;65,12;67,44
Fold6;67,44;46,51;67,44;67,44;51,16;48,84;48,84;67,44
Fold7;65,12;60,47;65,12;65,12;60,47;55,81;60,47;65,12
Fold8;67,44;55,81;67,44;67,44;48,84;53,49;55,81;67,44
Fold9;67,44;44,19;67,44;67,44;44,19;46,51;44,19;67,44
Fold10;62,79;48,84;62,79;62,79;39,53;58,14;48,84;62,79
