FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;74,29;80,00;74,29;80,00;85,71;80,00;82,86
Fold2;74,29;71,43;74,29;74,29;74,29;74,29;74,29
Fold3;74,29;71,43;74,29;68,57;71,43;80,00;74,29
Fold4;74,29;85,71;74,29;91,43;80,00;88,57;85,71
Fold5;71,43;77,14;71,43;77,14;80,00;80,00;77,14
Fold6;71,43;74,29;71,43;65,71;68,57;74,29;74,29
Fold7;71,43;65,71;71,43;65,71;65,71;62,86;62,86
Fold8;71,43;85,71;71,43;85,71;82,86;85,71;85,71
Fold9;71,43;80,00;71,43;80,00;85,71;80,00;80,00
Fold10;73,53;85,29;73,53;82,35;82,35;85,29;85,29
