FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;66,67;90,48;42,86;66,67;95,24;80,95;85,71;80,95
Fold2;38,10;33,33;38,10;38,10;42,86;42,86;33,33;52,38
Fold3;47,62;66,67;47,62;52,38;76,19;57,14;71,43;66,67
Fold4;76,19;61,90;57,14;80,95;76,19;71,43;61,90;76,19
Fold5;38,10;57,14;38,10;42,86;66,67;61,90;61,90;61,90
Fold6;50,00;50,00;60,00;50,00;55,00;45,00;55,00;70,00
Fold7;60,00;45,00;55,00;55,00;60,00;55,00;55,00;50,00
Fold8;75,00;45,00;70,00;75,00;55,00;75,00;50,00;70,00
Fold9;50,00;75,00;55,00;50,00;60,00;55,00;70,00;80,00
Fold10;65,00;80,00;30,00;65,00;70,00;60,00;80,00;75,00
