FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fold2;76,92;84,62;76,92;76,92;61,54;84,62;84,62;76,92
Fold3;84,62;76,92;84,62;84,62;92,31;84,62;92,31;92,31
Fold4;92,31;100,00;92,31;92,31;100,00;92,31;100,00;92,31
Fold5;76,92;100,00;76,92;76,92;84,62;84,62;100,00;69,23
Fold6;92,31;100,00;92,31;92,31;76,92;100,00;92,31;92,31
Fold7;84,62;92,31;84,62;84,62;92,31;69,23;76,92;84,62
Fold8;100,00;76,92;100,00;100,00;84,62;92,31;84,62;100,00
Fold9;91,67;75,00;91,67;91,67;66,67;66,67;75,00;91,67
Fold10;91,67;100,00;91,67;91,67;91,67;91,67;100,00;100,00
