FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;86,96;78,26;91,30;86,96;86,96;91,30;86,96;86,96
Fold2;73,91;69,57;91,30;69,57;82,61;78,26;86,96;100,00
Fold3;95,65;100,00;91,30;73,91;95,65;91,30;91,30;91,30
Fold4;59,09;77,27;81,82;59,09;63,64;59,09;86,36;77,27
Fold5;72,73;72,73;77,27;81,82;72,73;77,27;90,91;90,91
Fold6;86,36;81,82;81,82;77,27;81,82;81,82;72,73;86,36
Fold7;95,45;81,82;95,45;81,82;95,45;77,27;86,36;90,91
Fold8;72,73;77,27;86,36;86,36;72,73;77,27;77,27;86,36
Fold9;90,91;81,82;86,36;63,64;81,82;72,73;90,91;90,91
Fold10;100,00;100,00;95,45;95,45;100,00;95,45;100,00;100,00
