FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;52,38;80,95;71,43;57,14;80,95;71,43;80,95;80,95
Fold2;38,10;66,67;52,38;38,10;47,62;38,10;71,43;76,19
Fold3;52,38;85,71;57,14;52,38;66,67;71,43;80,95;85,71
Fold4;47,62;85,71;47,62;47,62;76,19;57,14;80,95;85,71
Fold5;47,62;76,19;57,14;47,62;66,67;61,90;76,19;76,19
Fold6;50,00;65,00;55,00;50,00;60,00;45,00;65,00;65,00
Fold7;40,00;70,00;45,00;40,00;60,00;60,00;70,00;70,00
Fold8;55,00;70,00;55,00;45,00;75,00;65,00;75,00;70,00
Fold9;40,00;75,00;45,00;40,00;80,00;70,00;75,00;75,00
Fold10;40,00;90,00;50,00;40,00;80,00;65,00;90,00;90,00
