FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;77,78;84,13;93,65;100,00;79,37;80,95;85,71;84,13
Fold2;71,43;80,95;93,65;95,24;79,37;76,19;79,37;90,48
Fold3;73,02;77,78;95,24;100,00;76,19;82,54;90,48;82,54
Fold4;76,19;82,54;93,65;95,24;82,54;84,13;84,13;85,71
Fold5;76,19;77,78;95,24;98,41;71,43;84,13;73,02;77,78
Fold6;72,58;77,42;95,16;100,00;72,58;79,03;82,26;88,71
Fold7;79,03;83,87;88,71;95,16;80,65;87,10;82,26;85,48
Fold8;75,81;83,87;95,16;100,00;79,03;83,87;87,10;90,32
Fold9;82,26;87,10;87,10;96,77;85,48;90,32;83,87;88,71
Fold10;82,26;83,87;91,94;100,00;83,87;87,10;91,94;87,10
