FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;87,30;84,13;98,41;100,00;84,13;92,06;92,06;92,06
Fold2;76,19;84,13;93,65;95,24;82,54;85,71;85,71;87,30
Fold3;77,78;79,37;98,41;98,41;79,37;79,37;80,95;77,78
Fold4;82,54;87,30;95,24;95,24;85,71;84,13;87,30;84,13
Fold5;77,78;80,95;95,24;95,24;79,37;84,13;80,95;84,13
Fold6;75,81;77,42;96,77;98,39;75,81;82,26;82,26;82,26
Fold7;82,26;85,48;91,94;95,16;85,48;87,10;85,48;87,10
Fold8;83,87;83,87;100,00;98,39;82,26;85,48;87,10;87,10
Fold9;85,48;87,10;96,77;95,16;85,48;85,48;88,71;87,10
Fold10;85,48;88,71;100,00;98,39;85,48;88,71;88,71;91,94
