FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fold2;84,62;92,31;84,62;84,62;100,00;100,00;92,31;92,31
Fold3;100,00;92,31;100,00;100,00;100,00;92,31;92,31;84,62
Fold4;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fold5;100,00;100,00;100,00;100,00;100,00;92,31;100,00;100,00
Fold6;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fold7;76,92;84,62;76,92;76,92;100,00;84,62;84,62;76,92
Fold8;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Fold9;91,67;100,00;91,67;91,67;100,00;100,00;100,00;100,00
Fold10;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
