FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;66,67;71,43;66,67;66,67;80,95;80,95;76,19;85,71
Fold2;90,48;71,43;90,48;90,48;95,24;80,95;71,43;90,48
Fold3;85,71;80,95;85,71;85,71;80,95;85,71;80,95;80,95
Fold4;95,24;90,48;80,95;95,24;80,95;80,95;85,71;95,24
Fold5;80,95;76,19;66,67;57,14;71,43;52,38;76,19;80,95
Fold6;75,00;55,00;80,00;75,00;85,00;80,00;80,00;80,00
Fold7;80,00;55,00;70,00;80,00;65,00;70,00;60,00;60,00
Fold8;85,00;80,00;90,00;85,00;80,00;75,00;75,00;85,00
Fold9;75,00;80,00;85,00;75,00;75,00;80,00;80,00;75,00
Fold10;80,00;85,00;60,00;80,00;70,00;65,00;85,00;70,00
