FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;71,43;77,14;71,43;71,43;68,57;80,00;80,00
Fold2;62,86;71,43;68,57;68,57;74,29;71,43;71,43
Fold3;62,86;68,57;62,86;65,71;71,43;71,43;71,43
Fold4;74,29;77,14;74,29;77,14;74,29;80,00;80,00
Fold5;77,14;82,86;80,00;77,14;82,86;82,86;82,86
Fold6;68,57;74,29;68,57;71,43;71,43;77,14;77,14
Fold7;80,00;71,43;80,00;74,29;77,14;71,43;71,43
Fold8;74,29;82,86;77,14;80,00;85,71;88,57;82,86
Fold9;62,86;65,71;62,86;60,00;71,43;71,43;71,43
Fold10;73,53;85,29;73,53;73,53;73,53;82,35;82,35
