FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;95,65;91,30;91,30;91,30;100,00;100,00;95,65
Fold2;82,61;82,61;78,26;78,26;91,30;78,26;78,26
Fold3;95,65;95,65;91,30;95,65;95,65;95,65;91,30
Fold4;54,55;59,09;68,18;63,64;68,18;59,09;68,18
Fold5;77,27;72,73;72,73;72,73;77,27;77,27;77,27
Fold6;81,82;90,91;86,36;86,36;81,82;86,36;86,36
Fold7;86,36;72,73;90,91;86,36;86,36;86,36;86,36
Fold8;68,18;81,82;77,27;77,27;77,27;81,82;81,82
Fold9;77,27;77,27;77,27;77,27;77,27;77,27;72,73
Fold10;100,00;100,00;100,00;100,00;95,45;95,45;95,45
