FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;94,29;94,29;94,29;94,29;94,29;94,29;94,29
Fold2;82,86;82,86;82,86;80,00;85,71;82,86;82,86
Fold3;97,14;85,71;91,43;85,71;85,71;82,86;82,86
Fold4;94,29;94,29;94,29;94,29;91,43;91,43;85,71
Fold5;94,29;91,43;91,43;91,43;91,43;91,43;91,43
Fold6;85,71;82,86;88,57;91,43;88,57;88,57;82,86
Fold7;88,57;88,57;91,43;88,57;91,43;88,57;85,71
Fold8;97,14;94,29;97,14;97,14;97,14;97,14;97,14
Fold9;97,14;91,43;94,29;94,29;100,00;97,14;91,43
Fold10;88,24;88,24;91,18;88,24;94,12;94,12;88,24
