FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;52,17;82,61;73,91;65,22;78,26;100,00;73,91;86,96
Fold2;43,48;86,96;73,91;65,22;86,96;82,61;91,30;86,96
Fold3;65,22;91,30;86,96;78,26;86,96;95,65;91,30;91,30
Fold4;54,55;68,18;68,18;59,09;72,73;63,64;63,64;63,64
Fold5;45,45;72,73;72,73;36,36;54,55;72,73;68,18;68,18
Fold6;50,00;72,73;77,27;72,73;72,73;86,36;81,82;86,36
Fold7;54,55;77,27;72,73;59,09;68,18;90,91;86,36;81,82
Fold8;40,91;68,18;54,55;45,45;59,09;63,64;68,18;63,64
Fold9;50,00;72,73;63,64;59,09;81,82;81,82;81,82;77,27
Fold10;50,00;86,36;63,64;68,18;81,82;86,36;81,82;81,82
