FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;87,30;85,71;98,41;100,00;84,13;87,30;90,48;92,06
Fold2;76,19;82,54;95,24;95,24;82,54;80,95;87,30;88,89
Fold3;77,78;79,37;95,24;98,41;79,37;77,78;88,89;90,48
Fold4;82,54;87,30;93,65;95,24;87,30;84,13;92,06;92,06
Fold5;77,78;80,95;96,83;96,83;79,37;80,95;82,54;88,89
Fold6;75,81;79,03;98,39;98,39;75,81;75,81;88,71;88,71
Fold7;82,26;85,48;91,94;95,16;83,87;85,48;85,48;87,10
Fold8;83,87;83,87;100,00;98,39;82,26;83,87;87,10;88,71
Fold9;85,48;87,10;95,16;95,16;83,87;87,10;91,94;93,55
Fold10;85,48;85,48;98,39;100,00;83,87;87,10;91,94;93,55
