FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;71,43;71,43;0,00;0,00;85,71;85,71;71,43
Fold2;71,43;71,43;0,00;0,00;85,71;85,71;71,43
Fold3;71,43;85,71;0,00;0,00;85,71;85,71;71,43
Fold4;71,43;57,14;0,00;0,00;85,71;85,71;85,71
Fold5;83,33;83,33;0,00;0,00;100,00;100,00;83,33
Fold6;100,00;100,00;0,00;0,00;83,33;100,00;100,00
Fold7;83,33;100,00;0,00;0,00;83,33;83,33;83,33
Fold8;83,33;83,33;0,00;0,00;83,33;66,67;83,33
Fold9;66,67;83,33;0,00;0,00;83,33;83,33;83,33
Fold10;66,67;66,67;0,00;0,00;66,67;66,67;66,67
