FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;50,00;33,33;50,00;50,00;41,67;50,00;50,00;50,00
Fold2;75,00;66,67;83,33;83,33;66,67;91,67;75,00;75,00
Fold3;50,00;58,33;58,33;50,00;58,33;50,00;58,33;58,33
Fold4;66,67;66,67;83,33;75,00;66,67;91,67;75,00;75,00
Fold5;58,33;66,67;41,67;58,33;58,33;75,00;66,67;66,67
Fold6;50,00;83,33;66,67;58,33;83,33;83,33;75,00;75,00
Fold7;72,73;81,82;81,82;72,73;81,82;81,82;100,00;100,00
Fold8;72,73;81,82;90,91;81,82;90,91;100,00;100,00;100,00
Fold9;27,27;45,45;45,45;45,45;45,45;63,64;45,45;45,45
Fold10;81,82;45,45;72,73;81,82;54,55;72,73;63,64;63,64
