FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;52,17;78,26;86,96;82,61;95,65;91,30;91,30
Fold2;52,17;86,96;78,26;86,96;78,26;73,91;73,91
Fold3;52,17;95,65;82,61;95,65;95,65;95,65;95,65
Fold4;50,00;77,27;72,73;63,64;59,09;68,18;68,18
Fold5;50,00;72,73;72,73;77,27;72,73;77,27;77,27
Fold6;50,00;81,82;81,82;86,36;86,36;90,91;90,91
Fold7;50,00;77,27;90,91;81,82;90,91;81,82;81,82
Fold8;50,00;68,18;81,82;72,73;81,82;77,27;81,82
Fold9;59,09;77,27;72,73;77,27;86,36;86,36;86,36
Fold10;72,73;95,45;100,00;95,45;95,45;100,00;95,45
