FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;71,43;80,00;71,43;77,14;71,43;77,14;80,00
Fold2;62,86;71,43;74,29;74,29;68,57;74,29;74,29
Fold3;62,86;71,43;65,71;68,57;71,43;71,43;71,43
Fold4;74,29;82,86;74,29;82,86;77,14;80,00;80,00
Fold5;77,14;85,71;80,00;80,00;82,86;82,86;82,86
Fold6;68,57;74,29;68,57;71,43;74,29;74,29;74,29
Fold7;80,00;68,57;80,00;74,29;74,29;74,29;74,29
Fold8;74,29;82,86;77,14;80,00;82,86;85,71;82,86
Fold9;62,86;80,00;62,86;71,43;71,43;80,00;80,00
Fold10;73,53;85,29;73,53;76,47;82,35;88,24;88,24
