FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;77,14;77,14;77,14;77,14;82,86;82,86;82,86
Fold2;77,14;71,43;77,14;71,43;71,43;74,29;77,14
Fold3;65,71;74,29;71,43;77,14;68,57;77,14;77,14
Fold4;85,71;82,86;74,29;82,86;65,71;85,71;85,71
Fold5;85,71;77,14;77,14;77,14;88,57;82,86;77,14
Fold6;65,71;77,14;68,57;71,43;65,71;71,43;77,14
Fold7;80,00;60,00;65,71;60,00;68,57;68,57;65,71
Fold8;74,29;85,71;85,71;85,71;80,00;77,14;80,00
Fold9;62,86;77,14;68,57;77,14;88,57;77,14;77,14
Fold10;76,47;82,35;76,47;79,41;82,35;82,35;79,41
