FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;40,91;50,00;45,45;40,91;50,00;40,91;50,00;50,00
Fold2;54,55;50,00;45,45;54,55;54,55;45,45;50,00;50,00
Fold3;45,45;63,64;36,36;54,55;59,09;45,45;63,64;63,64
Fold4;54,55;59,09;50,00;59,09;50,00;54,55;59,09;59,09
Fold5;52,38;57,14;33,33;57,14;61,90;57,14;57,14;61,90
Fold6;57,14;66,67;66,67;57,14;71,43;57,14;57,14;66,67
Fold7;47,62;42,86;38,10;47,62;42,86;47,62;42,86;42,86
Fold8;42,86;52,38;38,10;38,10;52,38;42,86;52,38;52,38
Fold9;52,38;71,43;47,62;52,38;61,90;57,14;61,90;57,14
Fold10;38,10;57,14;52,38;47,62;47,62;33,33;57,14;57,14
