FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;74,29;85,71;74,29;74,29;85,71;85,71;85,71
Fold2;74,29;68,57;74,29;74,29;74,29;68,57;68,57
Fold3;74,29;71,43;74,29;82,86;74,29;74,29;74,29
Fold4;74,29;74,29;74,29;74,29;82,86;82,86;74,29
Fold5;71,43;71,43;71,43;71,43;77,14;77,14;77,14
Fold6;71,43;71,43;71,43;71,43;71,43;71,43;71,43
Fold7;71,43;68,57;71,43;71,43;65,71;65,71;65,71
Fold8;71,43;71,43;71,43;71,43;82,86;82,86;82,86
Fold9;71,43;77,14;71,43;71,43;82,86;80,00;80,00
Fold10;73,53;73,53;73,53;73,53;88,24;79,41;82,35
