FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;58,33;41,67;58,33;58,33;41,67;66,67;66,67;66,67
Fold2;91,67;75,00;91,67;83,33;91,67;91,67;91,67;91,67
Fold3;50,00;58,33;50,00;50,00;50,00;41,67;41,67;50,00
Fold4;91,67;75,00;91,67;83,33;75,00;91,67;75,00;75,00
Fold5;75,00;58,33;91,67;58,33;66,67;75,00;66,67;75,00
Fold6;83,33;66,67;83,33;83,33;66,67;83,33;83,33;83,33
Fold7;72,73;81,82;90,91;81,82;81,82;90,91;90,91;90,91
Fold8;81,82;90,91;90,91;81,82;90,91;81,82;90,91;90,91
Fold9;63,64;54,55;63,64;63,64;54,55;90,91;72,73;63,64
Fold10;72,73;54,55;90,91;63,64;63,64;54,55;72,73;81,82
