FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;61,90;76,19;61,90;71,43;80,95;61,90;76,19;76,19
Fold2;47,62;38,10;57,14;47,62;47,62;66,67;38,10;71,43
Fold3;61,90;76,19;57,14;61,90;71,43;57,14;76,19;76,19
Fold4;61,90;52,38;52,38;57,14;66,67;61,90;52,38;71,43
Fold5;57,14;52,38;47,62;47,62;57,14;80,95;57,14;61,90
Fold6;65,00;65,00;70,00;60,00;65,00;45,00;60,00;65,00
Fold7;50,00;50,00;50,00;55,00;65,00;50,00;50,00;60,00
Fold8;65,00;55,00;65,00;65,00;65,00;65,00;55,00;65,00
Fold9;50,00;65,00;60,00;50,00;70,00;65,00;65,00;80,00
Fold10;75,00;70,00;70,00;75,00;70,00;80,00;70,00;65,00
