FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;71,43;85,71;0,00;0,00;85,71;100,00;85,71
Fold2;85,71;71,43;0,00;0,00;85,71;85,71;85,71
Fold3;85,71;100,00;0,00;0,00;85,71;85,71;85,71
Fold4;85,71;57,14;0,00;0,00;85,71;85,71;85,71
Fold5;100,00;100,00;0,00;0,00;100,00;100,00;100,00
Fold6;83,33;100,00;0,00;0,00;100,00;83,33;83,33
Fold7;83,33;83,33;0,00;0,00;83,33;83,33;100,00
Fold8;83,33;66,67;0,00;0,00;83,33;66,67;83,33
Fold9;83,33;83,33;0,00;0,00;83,33;83,33;83,33
Fold10;66,67;83,33;0,00;0,00;83,33;66,67;66,67
