FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;40,91;54,55;36,36;40,91;50,00;36,36;45,45;54,55
Fold2;54,55;68,18;40,91;54,55;72,73;54,55;68,18;68,18
Fold3;45,45;72,73;45,45;54,55;72,73;59,09;63,64;63,64
Fold4;54,55;68,18;45,45;59,09;68,18;63,64;72,73;72,73
Fold5;52,38;71,43;38,10;57,14;76,19;57,14;71,43;76,19
Fold6;57,14;76,19;47,62;57,14;76,19;61,90;76,19;76,19
Fold7;47,62;47,62;47,62;42,86;47,62;47,62;47,62;52,38
Fold8;42,86;57,14;38,10;47,62;52,38;42,86;52,38;52,38
Fold9;52,38;42,86;38,10;57,14;57,14;47,62;47,62;47,62
Fold10;38,10;57,14;57,14;47,62;57,14;42,86;57,14;57,14
