FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;95,65;91,30;91,30;91,30;91,30;100,00;95,65;95,65
Fold2;82,61;82,61;95,65;78,26;78,26;91,30;86,96;86,96
Fold3;95,65;95,65;91,30;91,30;95,65;95,65;91,30;91,30
Fold4;54,55;59,09;77,27;68,18;63,64;68,18;81,82;81,82
Fold5;77,27;72,73;86,36;72,73;72,73;77,27;90,91;86,36
Fold6;81,82;90,91;90,91;86,36;86,36;81,82;86,36;86,36
Fold7;86,36;72,73;95,45;90,91;86,36;86,36;95,45;86,36
Fold8;68,18;81,82;90,91;77,27;77,27;77,27;90,91;90,91
Fold9;77,27;77,27;86,36;77,27;77,27;77,27;90,91;86,36
Fold10;100,00;100,00;100,00;100,00;100,00;95,45;100,00;100,00
