FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;58,33;58,33;50,00;50,00;66,67;58,33;66,67;58,33
Fold2;91,67;83,33;83,33;91,67;91,67;75,00;66,67;91,67
Fold3;58,33;58,33;50,00;58,33;58,33;58,33;50,00;58,33
Fold4;83,33;75,00;83,33;91,67;75,00;66,67;83,33;100,00
Fold5;75,00;100,00;50,00;91,67;66,67;83,33;58,33;75,00
Fold6;91,67;83,33;83,33;75,00;91,67;83,33;75,00;91,67
Fold7;72,73;90,91;81,82;63,64;72,73;63,64;63,64;63,64
Fold8;72,73;72,73;81,82;81,82;90,91;90,91;100,00;72,73
Fold9;81,82;72,73;54,55;63,64;63,64;90,91;81,82;72,73
Fold10;63,64;72,73;72,73;63,64;63,64;54,55;72,73;63,64
