FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;40,91;54,55;36,36;40,91;50,00;40,91;45,45;45,45
Fold2;54,55;63,64;36,36;54,55;68,18;50,00;63,64;63,64
Fold3;45,45;40,91;45,45;50,00;63,64;54,55;54,55;54,55
Fold4;54,55;68,18;45,45;59,09;68,18;54,55;72,73;72,73
Fold5;52,38;57,14;42,86;57,14;71,43;57,14;47,62;57,14
Fold6;57,14;61,90;42,86;52,38;61,90;57,14;57,14;57,14
Fold7;47,62;47,62;42,86;42,86;47,62;47,62;47,62;47,62
Fold8;42,86;42,86;42,86;42,86;52,38;42,86;42,86;42,86
Fold9;52,38;47,62;42,86;57,14;52,38;47,62;52,38;57,14
Fold10;38,10;57,14;57,14;47,62;57,14;38,10;57,14;57,14
