FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;85,71;80,95;76,19;80,95;80,95;76,19;85,71;85,71
Fold2;80,95;76,19;85,71;80,95;76,19;80,95;71,43;80,95
Fold3;85,71;80,95;61,90;80,95;71,43;80,95;80,95;85,71
Fold4;80,95;85,71;80,95;85,71;90,48;80,95;80,95;80,95
Fold5;71,43;71,43;66,67;71,43;57,14;71,43;66,67;76,19
Fold6;70,00;75,00;70,00;80,00;80,00;75,00;80,00;80,00
Fold7;80,00;80,00;70,00;85,00;65,00;70,00;65,00;65,00
Fold8;85,00;80,00;85,00;85,00;75,00;85,00;85,00;85,00
Fold9;80,00;90,00;80,00;80,00;80,00;80,00;70,00;85,00
Fold10;90,00;85,00;65,00;90,00;85,00;80,00;90,00;75,00
