FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;53,85;100,00;53,85;53,85;100,00;100,00;100,00;100,00
Fold2;53,85;69,23;53,85;53,85;76,92;61,54;84,62;84,62
Fold3;53,85;84,62;53,85;53,85;84,62;84,62;84,62;84,62
Fold4;53,85;92,31;53,85;53,85;92,31;84,62;92,31;92,31
Fold5;53,85;100,00;53,85;53,85;84,62;69,23;100,00;69,23
Fold6;53,85;92,31;53,85;53,85;92,31;92,31;92,31;92,31
Fold7;61,54;76,92;61,54;61,54;84,62;69,23;84,62;84,62
Fold8;61,54;92,31;61,54;61,54;92,31;92,31;100,00;100,00
Fold9;58,33;66,67;58,33;58,33;75,00;66,67;75,00;66,67
Fold10;58,33;100,00;58,33;58,33;91,67;91,67;91,67;91,67
