FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;86,96;69,57;78,26;86,96;91,30;91,30;91,30
Fold2;73,91;69,57;69,57;82,61;78,26;78,26;78,26
Fold3;95,65;100,00;78,26;95,65;86,96;91,30;91,30
Fold4;59,09;77,27;59,09;63,64;59,09;59,09;59,09
Fold5;72,73;72,73;81,82;72,73;77,27;77,27;77,27
Fold6;86,36;81,82;77,27;81,82;81,82;81,82;86,36
Fold7;95,45;81,82;81,82;95,45;77,27;77,27;77,27
Fold8;72,73;77,27;86,36;72,73;77,27;77,27;81,82
Fold9;90,91;81,82;63,64;81,82;72,73;77,27;72,73
Fold10;100,00;95,45;95,45;95,45;95,45;95,45;95,45
